-10.0	4.946527688596985e-23
-9.97997997997998	6.581595272366532e-23
-9.95995995995996	8.749972015256942e-23
-9.93993993993994	1.162323235024151e-22
-9.91991991991992	1.5427371536976837e-22
-9.8998998998999	2.0459815910100942e-22
-9.87987987987988	2.711166993048125e-22
-9.85985985985986	3.589678708685191e-22
-9.83983983983984	4.748972486610811e-22
-9.81981981981982	6.277525587665654e-22
-9.7997997997998	8.291289771019483e-22
-9.77977977977978	1.0942094449273218e-21
-9.75975975975976	1.4428579895495574e-21
-9.73973973973974	1.9010409929467358e-21
-9.71971971971972	2.5026731761579187e-21
-9.6996996996997	3.292013136882029e-21
-9.67967967967968	4.326769345698666e-21
-9.65965965965966	5.682123809704462e-21
-9.63963963963964	7.455940001762139e-21
-9.61961961961962	9.775497758031012e-21
-9.5995995995996	1.2806195281666508e-20
-9.57957957957958	1.6762783021588456e-20
-9.55955955955956	2.1923853467498827e-20
-9.53953953953954	2.86505142588096e-20
-9.51951951951952	3.741043141058181e-20
-9.4994994994995	4.8808760059862613e-20
-9.47947947947948	6.362790108530967e-20
-9.45945945945946	8.287855745250854e-20
-9.43943943943944	1.0786524473464555e-19
-9.41941941941942	1.4027027447535283e-19
-9.3993993993994	1.8226132542992828e-19
-9.37937937937938	2.3662910732741106e-19
-9.35935935935936	3.069633814498961e-19
-9.33933933933934	3.9787782851880408e-19
-9.31931931931932	5.152970682108447e-19
-9.2992992992993	6.668226879373157e-19
-9.27927927927928	8.621996215035548e-19
-9.25925925925926	1.1139098689323374e-18
-9.23923923923924	1.4379276646459815e-18
-9.21921921921922	1.8546791540090153e-18
-9.1991991991992	2.390260891674986e-18
-9.17917917917918	3.0779856073404754e-18
-9.15915915915916	3.960341415310534e-18
-9.13913913913914	5.091472869411244e-18
-9.11911911911912	6.540320097536122e-18
-9.0990990990991	8.39458707287443e-18
-9.07907907907908	1.0765753606518718e-17
-9.05905905905906	1.3795400003921634e-17
-9.03903903903904	1.766318114677249e-17
-9.01901901901902	2.2596871296757412e-17
-8.998998998999	2.8885006189683614e-17
-8.97897897897898	3.689277996168237e-17
-8.95895895895896	4.708201724535961e-17
-8.93893893893894	6.003624293479094e-17
-8.91891891891892	7.649212292648164e-17
-8.8988988988989	9.737886001188452e-17
-8.87887887887888	1.238675140447939e-16
-8.85885885885886	1.5743269173640977e-16
-8.83883883883884	1.9992964003043242e-16
-8.81881881881882	2.5369050380559935e-16
-8.7987987987988	3.21644405239235e-16
-8.77877877877878	4.074671071582028e-16
-8.75875875875876	5.157673832508596e-16
-8.73873873873874	6.523188916232018e-16
-8.71871871871872	8.243484049263619e-16
-8.6986986986987	1.0408937754575113e-15
-8.67867867867868	1.3132481109632111e-15
-8.65865865865866	1.6555104323532222e-15
-8.63863863863864	2.0852677310689744e-15
-8.618618618618619	2.6244390268101363e-15
-8.598598598598599	3.3003189701974264e-15
-8.578578578578579	4.146867011327897e-15
-8.558558558558559	5.206298492298033e-15
-8.538538538538539	6.531046615909947e-15
-8.518518518518519	8.186179571884818e-15
-8.498498498498499	1.025237574181078e-14
-8.478478478478479	1.2829582547806817e-14
-8.458458458458459	1.604151199072723e-14
-8.438438438438439	2.0041159242448026e-14
-8.418418418418419	2.5017571014052502e-14
-8.398398398398399	3.120413925664588e-14
-8.378378378378379	3.888875478698099e-14
-8.358358358358359	4.842622672664792e-14
-8.338338338338339	6.025345966306524e-14
-8.318318318318319	7.490798412087678e-14
-8.298298298298299	9.305056077618215e-14
-8.278278278278279	1.1549272902437088e-13
-8.258258258258259	1.4323035098719847e-13
-8.238238238238239	1.7748441871239074e-13
-8.218218218218219	2.1975065217858903e-13
-8.198198198198199	2.718597270689171e-13
-8.178178178178179	3.3605034394738114e-13
-8.158158158158159	4.1505779609367287e-13
-8.138138138138139	5.122212255680513e-13
-8.118118118118119	6.31613392314873e-13
-8.098098098098099	7.781975384044616e-13
-8.078078078078079	9.58016831396325e-13
-8.058058058058059	1.1784229437999237e-12
-8.038038038038039	1.4483516008771034e-12
-8.018018018018019	1.7786544431598456e-12
-7.997997997997999	2.1824983459483416e-12
-7.977977977977979	2.6758454659579364e-12
-7.957957957957959	3.278029803986048e-12
-7.937937937937939	4.0124490506717775e-12
-7.917917917917919	4.90739400031013e-12
-7.897897897897899	5.997041968747811e-12
-7.877877877877879	7.322645544503865e-12
-7.857857857857859	8.933953764055685e-12
-7.837837837837839	1.0890909579834483e-11
-7.817817817817819	1.326567545360554e-11
-7.797797797797799	1.6145048256430916e-11
-7.777777777777779	1.9633335618395548e-11
-7.7577577577577586	2.3855778711550047e-11
-7.7377377377377385	2.896262147395385e-11
-7.7177177177177185	3.51339438440424e-11
-7.6976976976976985	4.258539707918711e-11
-7.6776776776776785	5.157500314785016e-11
-7.6576576576576585	6.24112080484289e-11
-7.6376376376376385	7.546241133643711e-11
-7.6176176176176185	9.116823184183426e-11
-7.5975975975975985	1.1005281333930389e-10
-7.577577577577578	1.3274052472110635e-10
-7.557557557557558	1.599744680710976e-10
-7.537537537537538	1.9263827615406053e-10
-7.517517517517518	2.3178175958824061e-10
-7.497497497497498	2.786510549209795e-10
-7.477477477477478	3.3472402974910544e-10
-7.457457457457458	4.017518219270817e-10
-7.437437437437438	4.818075290625933e-10
-7.417417417417418	5.773432244859452e-10
-7.397397397397398	6.912566596042066e-10
-7.377377377377378	8.269692232929771e-10
-7.357357357357358	9.885169704324301e-10
-7.337337337337338	1.1806568080137119e-9
-7.317317317317318	1.4089902430929873e-9
-7.297297297297298	1.680107457484349e-9
